x-axis,1,2,3
second,Volt,Volt,Volt
+109.2000E-03,+3.4687500E+00,+3.3937500E+00,+3.7687502E+00
+109.3000E-03,+3.2187500E+00,+3.7375000E+00,+3.9875002E+00
+109.4000E-03,+2.9375000E+00,+3.8312500E+00,+3.9250002E+00
+109.5000E-03,+2.5625000E+00,+3.8312500E+00,+3.7375002E+00
+109.6000E-03,+2.1875000E+00,+3.6437500E+00,+3.3625002E+00
+109.7000E-03,+1.9062500E+00,+3.2375000E+00,+2.8625002E+00
+109.8000E-03,+1.7500000E+00,+2.7687500E+00,+2.3000002E+00
+109.9000E-03,+1.7187500E+00,+2.2375000E+00,+1.8312502E+00
+110.0000E-03,+1.8437500E+00,+1.8000000E+00,+1.4562502E+00
+110.1000E-03,+2.1562500E+00,+1.4875000E+00,+1.3000002E+00
+110.2000E-03,+2.5000000E+00,+1.3937500E+00,+1.3937502E+00
+110.3000E-03,+2.8437500E+00,+1.4562500E+00,+1.6750002E+00
+110.4000E-03,+3.2187500E+00,+1.7687500E+00,+2.0812502E+00
+110.5000E-03,+3.4687500E+00,+2.1750000E+00,+2.6437502E+00
+110.6000E-03,+3.5000000E+00,+2.7375000E+00,+3.2062502E+00
+110.7000E-03,+3.4375000E+00,+3.2062500E+00,+3.5812502E+00
+110.8000E-03,+3.2187500E+00,+3.6125000E+00,+3.9250002E+00
+110.9000E-03,+2.8750000E+00,+3.8000000E+00,+3.9250002E+00
+111.0000E-03,+2.5000000E+00,+3.8000000E+00,+3.7375002E+00
+111.1000E-03,+2.1250000E+00,+3.6125000E+00,+3.3937502E+00
+111.2000E-03,+1.8125000E+00,+3.2687500E+00,+2.8625002E+00
+111.3000E-03,+1.7812500E+00,+2.8000000E+00,+2.3312502E+00
+111.4000E-03,+1.7500000E+00,+2.2375000E+00,+1.8312502E+00
+111.5000E-03,+1.9375000E+00,+1.8312500E+00,+1.4875002E+00
+111.6000E-03,+2.2812500E+00,+1.5187500E+00,+1.3312502E+00
+111.7000E-03,+2.6562500E+00,+1.4562500E+00,+1.4562502E+00
+111.8000E-03,+3.0312500E+00,+1.5812500E+00,+1.7687502E+00
+111.9000E-03,+3.3125000E+00,+1.8937500E+00,+2.2687502E+00
+112.0000E-03,+3.5312500E+00,+2.3937500E+00,+2.8312502E+00
+112.1000E-03,+3.4687500E+00,+2.8625000E+00,+3.3312502E+00
+112.2000E-03,+3.3437500E+00,+3.3625000E+00,+3.7375002E+00
+112.3000E-03,+3.0000000E+00,+3.6750000E+00,+3.9250002E+00
+112.4000E-03,+2.5937500E+00,+3.7687500E+00,+3.8000002E+00
+112.5000E-03,+2.2187500E+00,+3.6750000E+00,+3.5187502E+00
+112.6000E-03,+1.9062500E+00,+3.3937500E+00,+3.0812502E+00
+112.7000E-03,+1.7500000E+00,+2.9562500E+00,+2.4875002E+00
+112.8000E-03,+1.7500000E+00,+2.4250000E+00,+2.0187502E+00
+112.9000E-03,+1.9375000E+00,+1.9562500E+00,+1.5812502E+00
+113.0000E-03,+2.2812500E+00,+1.6125000E+00,+1.3937502E+00
+113.1000E-03,+2.6875000E+00,+1.4875000E+00,+1.4562502E+00
+113.2000E-03,+3.0937500E+00,+1.5500000E+00,+1.7687502E+00
+113.3000E-03,+3.3437500E+00,+1.9250000E+00,+2.1750002E+00
+113.4000E-03,+3.5312500E+00,+2.3312500E+00,+2.8000002E+00
+113.5000E-03,+3.4375000E+00,+2.8625000E+00,+3.3000002E+00
+113.6000E-03,+3.2500000E+00,+3.3312500E+00,+3.7062502E+00
+113.7000E-03,+2.9062500E+00,+3.6750000E+00,+3.8312502E+00
+113.8000E-03,+2.4687500E+00,+3.8000000E+00,+3.7687502E+00
+113.9000E-03,+2.1250000E+00,+3.6437500E+00,+3.4562502E+00
+114.0000E-03,+1.8125000E+00,+3.3312500E+00,+2.9250002E+00
+114.1000E-03,+1.7187500E+00,+2.8312500E+00,+2.4250002E+00
+114.2000E-03,+1.8125000E+00,+2.3312500E+00,+1.8937502E+00
+114.3000E-03,+2.0937500E+00,+1.8937500E+00,+1.5500002E+00
+114.4000E-03,+2.4687500E+00,+1.5812500E+00,+1.4250002E+00
+114.5000E-03,+2.9062500E+00,+1.5187500E+00,+1.5812502E+00
+114.6000E-03,+3.2500000E+00,+1.7062500E+00,+1.9562502E+00
+114.7000E-03,+3.5000000E+00,+2.0812500E+00,+2.5187502E+00
+114.8000E-03,+3.5000000E+00,+2.5812500E+00,+3.0187502E+00
+114.9000E-03,+3.3125000E+00,+3.0812500E+00,+3.5187502E+00
+115.0000E-03,+3.0312500E+00,+3.4562500E+00,+3.7687502E+00
+115.1000E-03,+2.6250000E+00,+3.7062500E+00,+3.8312502E+00
+115.2000E-03,+2.1562500E+00,+3.6750000E+00,+3.5500002E+00
+115.3000E-03,+1.8750000E+00,+3.4250000E+00,+3.1125002E+00
+115.4000E-03,+1.7187500E+00,+3.0187500E+00,+2.5812502E+00
+115.5000E-03,+1.8125000E+00,+2.4875000E+00,+2.0500002E+00
+115.6000E-03,+2.0625000E+00,+2.0500000E+00,+1.6750002E+00
+115.7000E-03,+2.4687500E+00,+1.7062500E+00,+1.5187502E+00
+115.8000E-03,+2.8750000E+00,+1.6125000E+00,+1.5812502E+00
+115.9000E-03,+3.2500000E+00,+1.7062500E+00,+1.9250002E+00
+116.0000E-03,+3.4687500E+00,+2.0500000E+00,+2.4875002E+00
+116.1000E-03,+3.5000000E+00,+2.5500000E+00,+2.9875002E+00
+116.2000E-03,+3.3125000E+00,+3.0500000E+00,+3.4562502E+00
+116.3000E-03,+2.9687500E+00,+3.4250000E+00,+3.7062502E+00
+116.4000E-03,+2.5000000E+00,+3.6437500E+00,+3.7375002E+00
+116.5000E-03,+2.1250000E+00,+3.6125000E+00,+3.5187502E+00
+116.6000E-03,+1.8125000E+00,+3.3937500E+00,+3.0500002E+00
+116.7000E-03,+1.7187500E+00,+2.9250000E+00,+2.5500002E+00
+116.8000E-03,+1.8437500E+00,+2.4250000E+00,+2.0187502E+00
+116.9000E-03,+2.1562500E+00,+1.9562500E+00,+1.6437502E+00
+117.0000E-03,+2.5625000E+00,+1.7375000E+00,+1.5500002E+00
+117.1000E-03,+3.0312500E+00,+1.6437500E+00,+1.7062502E+00
